,0
3060,460.0
3063,70.0
3064,71.0
3065,482.0
3067,125.0
3069,22.0
3070,5.0
3071,46.0
3073,11.0
3074,71.0
3075,4.0
3076,4.0
3078,7.0
3080,20.0
3081,40.0
3082,303.0
3083,44.0
3087,1.0
3088,1357.0
3089,108.0
3090,68.0
3091,77.0
3094,6.0
3096,505.0
3097,164.0
3098,4.0
3101,1.0
3103,15.0
3105,136.0
3106,711.0
3107,49.0
3111,486.0
3113,91.0
3114,2.0
3115,2.0
3117,547.0
3121,15.0
3123,14.0
3124,135.0
3127,37.0
3128,3.0
3129,2.0
3132,1.0
3133,25.0
3135,309.0
3136,89.0
3137,3.0
3142,307.0
3143,2.0
3145,31.0
3146,97.0
3149,4.0
3150,133.0
3152,5.0
3153,23.0
3154,423.0
3155,10.0
3157,1.0
3160,7.0
3161,1.0
3162,7.0
3164,52.0
3165,7.0
3166,2.0
3167,91.0
3175,105.0
3176,114.0
3177,75.0
3179,5.0
3181,5.0
3184,139.0
3185,440.0
3188,7.0
3189,1.0
3190,31.0
3191,32.0
3196,1.0
3197,8.0
3199,350.0
3200,4.0
3203,1.0
3205,57.0
3208,17.0
3210,5.0
3215,22.0
3216,97.0
3218,12.0
3219,75.0
3220,6.0
3221,153.0
3222,2060.0
3224,342.0
3225,368.0
3226,108.0
3227,1.0
3228,128.0
3233,1524.0
3234,35.0
3239,2.0
3240,176.0
3242,1604.0
3243,8.0
3246,7.0
3248,3.0
3252,77.0
3254,2.0
3255,59.0
3256,19.0
3257,41.0
3259,12.0
3261,1.0
3263,37.0
3266,34.0
3268,4.0
3269,17.0
3271,8.0
3275,15.0
3277,1.0
3279,137.0
3284,173.0
3285,102.0
3286,4.0
3287,16.0
3288,28.0
3290,7.0
3292,48.0
3293,160.0
3294,259.0
3295,18.0
3298,39.0
3303,59.0
3304,4.0
3305,204.0
3306,1.0
3307,13.0
3309,734.0
3310,12.0
3311,154.0
3312,21.0
3318,50.0
3319,953.0
3321,269.0
3322,13.0
3325,10.0
3326,7.0
3327,8.0
3329,269.0
3330,26.0
3331,60.0
3332,27.0
3334,6.0
3336,68.0
3337,3.0
3340,149.0
3342,29.0
3343,1270.0
3344,1.0
3346,10.0
3349,118.0
3350,134.0
3353,21.0
3354,27.0
3356,7.0
3357,86.0
3358,20.0
3359,72.0
3360,91.0
3361,280.0
3362,31.0
3363,13.0
3366,7.0
3367,6.0
3368,3.0
3370,224.0
3371,86.0
3372,8.0
3373,1463.0
3374,55.0
3375,69.0
3376,8.0
3381,1.0
3383,21.0
3386,100.0
3387,91.0
3388,49.0
3389,2.0
3390,5.0
3392,30.0
3393,8.0
3397,9.0
3400,16.0
3401,7.0
3403,3.0
3409,5.0
3411,2.0
3413,585.0
3415,2.0
3416,3.0
3420,13.0
3422,23.0
3426,42.0
3428,21.0
3429,252.0
3432,14.0
3433,58.0
3435,12.0
3436,26.0
3439,58.0
3440,70.0
3441,17.0
3442,139.0
3443,1.0
3444,22.0
3446,1.0
3448,42.0
3449,101.0
3450,10.0
3451,31.0
3457,2.0
3458,96.0
3461,3.0
3464,13.0
3467,51.0
3470,2.0
3473,18.0
3476,4.0
3477,51.0
3478,4.0
3481,3.0
3482,6.0
3485,4.0
3486,5.0
3487,50.0
3489,227.0
3490,53.0
3491,18.0
3494,16.0
3495,73.0
3496,13.0
3499,19.0
3500,7.0
3502,1.0
